story_qn,answer_text
Why can't I see my innovations?,"You may not be able to see your innovations for one of the following reasons:

- There are **active filters**.
- You are not a **Stakeholder** for the innovation."
How can I get back an innovation that I deleted?,"To **restore** a deleted innovation, please [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Restore%20a%20deleted%20innovation/2/null/null/Dear%20colleagues%2C%0A%0ACan%20you%20please%20help%20me%20restore%20the%20following%20deleted%20innovation~60%0A%0ADeleted%20innovation%20%3C%3E%0A%0AReason%20for%20deleting%20innovation%20%3C%3E%0A%0AReason%20for%20restoring%20deleted%20innovation%20%3C%3E%0A%0ACan%20you%20please%20help%20me%20with%20this~60%0A%0ABest%20regards%2C%0A%3C%3E%0A/) with the necessary details.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
How can I restore a deleted innovation?,
How can I get back a product feature that I deleted?,"It is **not possible** to restore a **deleted** product feature 😊

Even the mighty Tobi is sometimes unable to help!"
How can I restore a deleted product feature?,
Why are assets uploaded to my feature not available in the SAP Road Map Explorer?,"If an asset for a feature is not available in SAP Road Map Explorer, it may be because the asset is not in one of the [**supported file formats**](https://wiki.wdf.sap.corp/wiki/display/IFR/Assets).

If an asset in one of the supported file formats is missing, please [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Assets%20uploaded%20are%20not%20available%20in%20SAP%20Road%20Map%20Explorer/03/null/null/Dear%20colleagues%2C%0A%0AThe%20assets%20uploaded%20to%20my%20feature%20are%20not%20available%20in%20the%20SAP%20Road%20Map%20Explorer.%0A%0AProduct%20Feature%20%3C%3E%0A%0AAssets%20which%20are%20missing%20%3C%3E%0A%0ACan%20you%20please%20help%20me%20with%20this~60%0A%0ABest%20regards%2C%0A%3C%3E/null/null/null/null/null/01/01/null/null/null/null) with the necessary details.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
Why are assets uploaded to my feature not available in Innovation Discovery?,"If an asset for a feature is not available in Innovation Discovery, it may be because the asset is not in one of the [**supported file formats**](https://wiki.wdf.sap.corp/wiki/display/IFR/Assets).

If an asset in one of the supported file formats is missing, please [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Assets%20uploaded%20are%20not%20available%20in%20Innovation%20Discovery/2/null/null/Dear%20colleagues%2C%0A%0AThe%20assets%20uploaded%20to%20my%20feature%20are%20not%20available%20in%20Innovation%20Discovery.%0A%0AProduct%20Feature%20%3C%3E%0A%0AAssets%20which%20are%20missing%20%3C%3E%0A%0ACan%20you%20please%20help%20me%20with%20this~60%0A%0ABest%20regards%2C%0A%3C%3E/null/null/null/null/null/01/01/null/null/null/null) with the necessary details.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
Why can't I see the Create Innovation button?,"The Create Innovation button may not be visible due to the **zoom setting** of your browser. 

For an optimal experience, please **set the zoom** to 100%."
Why can't I edit the description of a product feature?,"You **cannot edit** the description of a product feature in the following cases:

- The product feature has been **published**.
- You are not a **stakeholder** for the product feature.
- **Integrate UACP Documentation** is switched on.

Our amazing Innovation & Feature Repository team will handle the rest! 😊 "
Why can't I copy a product feature?,"You can copy a product feature only if you are an **author, planner** or **stakeholder** for that product feature."
What is the difference between the planner and primary author of an innovation?,"The **planner** of an innovation is the person who **initiated the creation** of the innovation. Usually, this is the Product Owner responsible for the innovation.

By default, the **primary author** of an innovation is the person who **created the innovation** (e.g. Product Owner).

After creating an innovation, the planner can **delegate** responsibility for maintaining the innovation by changing the primary author."
Why is my product feature Awaiting Publishing?,You can find out why your product feature is awaiting publishing by referring to our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/IFR/Feature+Release+to+Publish)!
Can I change the status of my innovation from Delivered to Planned?,"Generally, it is **not possible** to change the status of an innovation from **Delivered** to **Planned**. 

In **exceptional situations**, please [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Change%20the%20status%20of%20my%20innovation/2/null/null/Dear%20colleagues%2C%0A%0ACan%20you%20please%20help%20me%20change%20the%20status%20of%20my%20innovation%20from%20%3C%3E%20to%20%3C%3E~60%0A%0AInnovation%20%3C%3E%0A%0AReason%20for%20changing%20the%20status%20%3C%3E%0A%0ABest%20regards%2C%0A%3C%3E) with the necessary details.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
Why do I see the message 'Innovation locked by yourself'?,"If you open an innovation in **two browser windows**, you see the message 'Innovation locked by yourself'.

If you get this message in any other cases, please [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Error%20Message%3A%20'Innovation%20locked%20by%20yourself'/2/null/null/Dear%20colleagues%2C%0A%0AI%20am%20currently%20getting%20the%20error%20message%20'Innovation%20locked%20by%20yourself'%20for%20the%20following%20innovation.%0A%0AInnovation%20%3C%3E%0A%0ACan%20you%20please%20help%20me%20with%20this~60%0A%0ABest%20regards%2C%0A%3C%3E) with the necessary details.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
Why is my innovation locked,
What is the difference between the title and sub-title of an innovation?,"The **title** of an innovation is meant to be like a news headline: short & precise. 

The **sub-title** of an innovation is meant to be a one-line description of the functionality.

More information is available in our friendly [**guide**](https://jam4.sapjam.com/groups/2YspVptazd0xVe0dP6ZAnD/documents/Itjeaa2Sh03wzjF1M4qWd9/slide_viewer?_lightbox=true&label=Slide+1)!"
How can I link features to an Innovation?,"You can link features to an innovation in few easy steps!

1. On the [**home page**](https://ifp.wdf.sap.corp/spt/cd/ifr/#/), click on **My Innovations**. 
2. Select the innovation to which you want to link the feature.
3. Click on the tab **Features/ Features and Requirements**. 
4. Click on **Create Feature** or **Link Existing Feature**.

Wasn’t that easy? 😊"
How can I create an Innovation?,"Creating an Innovation is easy! 

1. On the [**home page**](https://ifp.wdf.sap.corp/spt/cd/ifr/#/), click on **Create Innovations**.
2. Enter the details of your innovation. 
3. Click on the **Create** button."
How can I unpublish my innovation?,"Generally, it is **not possible** to unpublish an innovation. 

In **exceptional situations**, please [**create a ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_IFR/IFR%3A%20Unpublish%20my%20innovation/03/null/null/Dear%20colleagues%2C%0A%0ACan%20you%20please%20help%20me%20unpublish%20the%20following%20innovation~60%0A%0AInnovation%20%3C%3E%0A%0AReason%20for%20unpublishing%20the%20innovation%20%3C%3E%0A%0ABest%20regards%2C%0A%3C%3E) with the necessary details.

Our amazing Innovation & Feature Repository team will handle the rest! 😊"
How to undo publish innovation?,
How can I undo publish?,
Who creates product features?,"A product feature is created by the product owner responsible for the development of that feature.

However, a product owner can engage an **Author** to help them in creating and managing product features."
Who creates an Innovation?,"**Product Owners** are responsible for creating and managing innovations. 

However, a product owner can engage an **Author** to help in creating and managing innovations."
What is Innovation & Feature Repository?,"**Innovation and Feature Repository** is a content management system for SAP innovations and product features.

These innovations and features are communicated to SAP customers, prospects and partners via the SAP Road Map Explorer.

Welcome to the Innovation & Feature Repository! 😊"
what is sap ifr?,
Who is IFR?,
what is sap innovation and feature repository?,
What is IFR?,
How to display only active Deliveries in the drop-down Delivery / Versions?,"In order to only display active deliveries in the drop-down list, the completed delivery/versions must be set to ""Archive"". 
1. Navigate to Releases section
2. Choose the version that you want to archive
3. On the Actions column click on the ... button an choose the Archive from the drop-down list.
As soon as this has been done, they no longer appear in the drop-down.
Wasn’t that easy! 😊"
Why don't I see my issues in a board? ,"Issues in a board may be **hidden** due to the following reasons:
⠀ 

- Your **board filter** does not return the issue:
    - Check if your board filter in the **issue navigator** is correctly returning your issues.
    - For Kanban boards, follow the same steps for the **sub-filter**.
- You have selected a **quick filter**:
    - Try **disabling** the quick filters.
- You have **unmapped workflow steps**:
    - If there are unmapped workflow steps in the board, update the **column configuration** to map the unmapped workflow steps.
"
I can’t see my issues in a board.,
Why can’t I see sub-tasks in Agile boards?,
How can I use a dashboard?,"You can use a [**dashboard**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/2.2+Dashboard) in many ways:
⠀ 

- Create a **personal dashboard** to track your issues.
- Use **dashboard charts** to organize your projects, assignments and achievements.
⠀ 

You can create multiple dashboards for a single project, or a single dashboard for multiple projects.
⠀ 

Dashboards are versatile, aren’t they! 😊"
Where can I find the burndown chart for my project?,"You can easily find the **burndown chart** for a project with these easy steps:
⠀ 

- Go to the relevant **project**.
- Click **Reports**, then select **Burndown Chart**.
⠀ 

The burndown chart for the **active sprint** is displayed by default. To choose a **different sprint**, click on the sprint drop-down.
"
What is a burndown chart?,"A burndown chart shows the amount of **completed work** in an epic or sprint and the **remaining work**.
⠀ 

Burndown charts are used to **predict** a team's **likelihood of completing work** in the available time.
⠀ 

This friendly [**guide**](https://www.atlassian.com/agile/tutorials/burndown-charts) explains how to use burndown charts!
"
How can I see the issues assigned to me? / ,"To view all issues assigned to you:
⠀ 

- Navigate to **Issues > Search for issues**
- Use this JQL query: **project = Project-Name AND assignee= currentUser()**
⠀ 

Replace **Project-Name** with your project’s name
⠀ 

Wasn’t that easy! 😊
"
How can I see my issues?,
How can I make my project visible in the Traceability Dashboard?,"To make your project **visible** in the Traceability Dashboard, you can follow the steps listed in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/QETools/2.1.1+Setup+-+without+cProjects)."
How can I get the value of a field using REST APIs?,"To get the value of a field using Jira REST APIs, you can refer to our friendly [**guide**](https://docs.atlassian.com/software/jira/docs/api/REST/7.13.8/#api/2/field)!"
Which tools are connected to SAP Jira? ,"SAP Jira is connected to [**Artemis**](https://sapedia.int.sap/wiki/Artemis), [**BCP**](https://sapedia.int.sap/wiki/Artemis), [**Sirius**](https://sapedia.int.sap/wiki/Sirius) and [**Test Workbench**](https://sapedia.int.sap/wiki/Test_Workbench)."
Can I use a structure formula column as a custom field in my project?,"You **cannot** use a structure [**formula**](https://wiki.almworks.com/display/structure/Formula+Columns) column as a custom field in your project.
⠀ 

You can only use it in a **structure**.
"
How can I get Jira notifications in Slack?,"Did you know that I am also **available** in Slack? 😊
⠀ 
You can follow these [**steps**](https://github.wdf.sap.corp/tobi/tobi-sapjira/wiki/Get-Slack-Notifications) to get Jira notifications in Slack.
"
How to get notifications on Slack?,
How can I configure Slack-SAP JIRA integration?,
How can I prevent other users from adding issues to the current sprint?,"To prevent other users from adding issues to the current sprint, create a [**request**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6) with the relevant details.
⠀ 

Our amazing **Jira admin team** will handle the rest!"
How can I delete a board from a project?,"You can easily delete a board from your project.
⠀ 
- Select **Boards** from the top menu.
- Click on **View All Boards**.
- Type your board name in the **search box**.
- Click on the ... at the right of the board you want to delete.
- Click on **Delete**"
How to delete a board,
How can I delete board,
What do the dots in a Kanban board represent?,"The small grey dots represent the **number of days** that a certain issue has been in that column.
⠀ 

This feature has been **disabled** in SAP Jira to improve the performance of Kanban boards."
what do dots in Kanban board,
Dots board,
How can I find the velocity of a closed sprint?,"You can view the velocity of a closed sprint using the **Sprint Report**.
⠀ 

To view the **velocity** of a sprint:
⠀ 

- Navigate to the desired board.
- Click **Reports**, then select **Velocity Chart**.
- The Velocity Chart will be displayed for your **last seven completed sprints**.
⠀ 

Click on **How to read this chart** at the top to view a short description of the report.
⠀ 

Wasn’t that simple! 😊"
velocity of closed sprint,
Can an issue be assigned to multiple sprints?,An issue **cannot** be assigned to multiple sprints.
issue assigned to many sprint,
How can I archive an agile board?,"It is **not** possible to **archive** an agile board.
⠀ 

However, you can **delete** it."
delete agile board,
archive agile board,
Is SAP Jira compliant with GDPR?,"SAP Jira is **compliant** with the General Data Protection Regulation (GDPR).
⠀ 

You can find more information [**here**](https://wiki.wdf.sap.corp/wiki/display/PITools/Data+Protection+and+Privacy)."
Jira GDPR,
Does SAP Jira comply with GDPR?,
How can I get permission to create a Rich Filter?,"To get permission to create a rich filter, please create a [**request**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6) with the necessary information.
⠀ 

Our amazing **SAP Jira admin team** will handle the rest!"
access to create rich filter,
I am not able to find a JQL Group By function.,"SAP Jira Query Language **does not have** a Group By function.
⠀ 

Alternatively, you can create a [**structure**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/Migrate+Issue-Hierarchy+to+Structure+Plugin) and use [**Group Generators**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/Migrate+Issue-Hierarchy+to+Structure+Plugin)."
I am unable to find a JQL group by function.,
How can I transfer team staffing from cPro to Artemis?,Transferring team staffing from cPro to Artemis is easy using our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/EPPM/1.3.8+Transferring+Team+Staffing+to+SAP+JIRA+Projects).
What is JQL?,"**Jira Query Language** (JQL) is the most powerful and flexible way to search for your issues in Jira.
⠀ 

You can start learning JQL [**here**](https://www.atlassian.com/blog/jira-software/jql-the-most-flexible-way-to-search-jira-14).
⠀ 

Happy Learning! 😊"
What is a dashboard?,"[**Dashboards**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/2.2+Dashboard) in SAP Jira display gadgets that help you organize your projects, assignments, and achievements in different charts.
⠀ 

Aren’t dashboards cool! 😊"
Why do we need archiving?,"SAP Jira is one of the world’s **largest instances** of Jira.
⠀ 

To enable good performance for SAP Jira, we need to **manage its size** which is achieved via archiving.
⠀ 

Archiving enables us to avoid **performance reductions** and **inconsistencies**.
⠀ 
 
Everyone loves a speedy SAP Jira! 😊"
Why do we need project archiving?,
How can I rename a completed sprint?,"Renaming a completed sprint is easy!
⠀ 

- Go to **Sprint Report** from the side bar.
- Select the sprint you want to rename.
- Click on the ellipses (...) button.
- Select **Edit Sprint**.
- Rename the sprint and click on **Save**.
⠀ 

Simple, isn’t it! 😊"
I do not see an option to remove an attachment from an issue.,"If you do not see a delete button to remove an attachment, please ask your **project administrator** for one of these permissions:
⠀ 

- **Delete own attachments**: this will allow you to delete attachments **added by you**
- **Delete all attachments**: this will allow you to delete **added by anyone**"
I cannot remove an attachment from an issue.,
I cannot remove an attachment from an issue.,
I cannot remove an attachment from an issue.,
How can I remove an attachment from an issue?,"You can remove an attachment from an issue in two easy steps! 😊
⠀ 

- Go to the **Issue detail** view.
- Hover on an attachment and click on the **trash can** icon."
How can I see the history of changes made to an issue?,"Seeing the history of changes to an issue is simple!
⠀ 

- Go to **your issue** and scroll down to the **Activity** section.
- Click on the **History** tab.
⠀ 

That’s it! 😊"
history of issue,
What is the difference between a sprint and a release?,"Agile projects are composed of regular increments called **sprints**. Each sprint has a fixed **duration** (e.g. two weeks) and fixed **scope** (i.e. sprint goal).
⠀ 

A release refers to software revisions containing **new features** or **enhancements** that are developed, tested and deployed **together**. A single release may include changes to hardware, software, documentation, processes and other components."
How can I create an issue hierarchy for my project?,Structure for Jira enables you to easily [**organize issues**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/4.3.4+Create+a+Structure) into a hierarchy!
Why are Hierarchy and Ranking view switched off?,"The **Hierarchy** and **Ranking** view were switched off as:
⠀ 

- they work only with **Internet Explorer**
- they are a **blocker** for the planned **upgrade to Jira 8**"
How can I view ranks as numeric values in a structure?,"The rank field is **not numeric** in Jira.
⠀ 

To view ranks as numeric values, sort the structure based on **Rank** and add a column of type **Sequential index**.
⠀ 

This is a **workaround** which may not always work!"
How can I use issueFunction() in a structure?,"You cannot use issueFunction() in structure as it is a part of the **ScriptRunner** plugin, which is not available for SAP Jira as it has **security issues**."
What is a folder in Structure?,A folder is a logical separation that you can use to **identify** and **fill** structure with relevant issues.
Is there an automatic migration from Issue Hierarchy to Structure?,"There is **no automatic migration** from Issue Hierarchy to Structure.
⠀ 

The usage of Issue Hierarchy **varied greatly** across teams, and an automatic migration would have required **additional manual steps** in nearly all cases. So, we decided to support our users with a [**guide**](https://wiki.wdf.sap.corp/wiki/pages/viewpage.action?pageId=2146224065) for quick and easy manual migration.
⠀ 

This also helps our users to familiarize with **Structure** and its features! 😊"
How can I migrate from Issue Hierarchy to Structure?,
I am unable to add Protecode group to a delivery,"Security Hub doesn't support Protecode groups. 
You have to add projects in the group individually.
May I help you with another question? 😊
"
Where can I find security standards?,"Please take a look at our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/PSSEC/SAP+Product+Standard+Security+-+Version+10.0).

Happy exploring! 😊"
I need information on getting started with Secure Development,Getting started with Secure Development is easy with this friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/DevFw/SD+-+Getting+Started)!
I cannot find / assign my component in the incidents filter for,"Only those components that have a Security Incident reported in BCP tool are available to be added in Secure Development. If you cannot find the component, then probably it is because the component does not have any Security Incidents reported. However due to synchronization delays between BCP tool and Secure Development it is best to wait for 24hrs before opening a support ticket."
I can see security incidents not related to my component(s),"As a read only mode, the meta data of all Security Incidents reported for SAP components are visible in Secure Development. However, the actual exploit of the incidents reported are not visible and there are authorization checks in place in the BCP tool to allow only authorized users of the component to access full details of the incident."
I want to remove the attached incidents under Security Incidents,"To remove the attached incidents under Security incidents:
1. Click on the Incidents filter
2. Press the delete icon to remove the incident component
For more information regrading Security Incidents, please visit our friendly [documentation](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Incidents)"
Can I copy a Risk Assessment?,"The Risk Assessment can be copied from already created Risk Assessments from the same program or other programs. To learn more on how to do it, please visit our friendly [guide](https://wiki.wdf.sap.corp/wiki/display/DevFw/Risk+Assessments)."
Filtering in Security incidents,"The Security Incidents define a view for the Program based on different filters. To define your required filter values:
1. Click on the Incidents Filter to open it.
2. Choose the values you want
3. Click on the Save Filter button
-->  The view is then persisted and the Security Incidents matching your configuration will be shown every time you or another staffed member of the Program opens the Security Incidents Tile."
Where can I find the Security Incidents section?,Security Incidents section is part of Secure Development. This could be found on program level as well as on delivery level under Security Development section. To know more about Security Incidents please visit our friendly [documentation](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Incidents)
Where can I find the Security Incidents tab?,
How can I activate future deliveries for Risk Assessment?,"To learn how to activate future deliveries for Risk Assessment, step by step, please visit our friendly [guide](https://wiki.wdf.sap.corp/wiki/display/DevFw/Risk+Assessments)."
How can I filter the list of risks?,You can filter the list of risks by clicking on the magnifying glass icon left to the Risk Assessment's title. The list can also be sorted by clicking on any of the column titles
How can I edit a security risk?,"To edit an existing security risk, click on its title. Then a pop-up window will be shown, where you can make your edits. In the top right of the pop-up window, you can show the changelog for this risk."
How can I create a new security risk?,"To create a new risk you need to:
1. Press the plus icon next to the Risk Assessment's title
2. Select a field in the risk matrix to select the impact and easiness of an attack.
3. Enter all relevant fields. You can also associate the Risk with one or more components and describe them.
4.  By clicking on Add attribute you can enter additional information such as comments. Confirm adding the additional attribute by clicking on the check sign icon.
5. Click on the save button"
How can I edit a Risk Assessment?,"To edit a Risk Assessment you need to click on the title of the Risk Assessment. Then a pop-up window will be shown, where you can
make your edits."
How can I create a Risk Assessment?,"There are four options when you create a Risk Assessment:
1. Create New
2. Copy from existing
3. Upload from Excel
4. Create from Threat Modeling
To know more about each option and how to proceed with it please visit our friendly [guide](https://wiki.wdf.sap.corp/wiki/display/DevFw/Risk+Assessments)."
Where can I find the Risk Assessment section?,"Risk Assessment is part of Secure Development. So, this could be found on program level under Security Development section.
 To know more about Threat Modeling please visit our friendly [documentation](https://wiki.wdf.sap.corp/wiki/display/DevFw/Risk+Assessments)."
Where can I find the Risk Assessment tab?,
"I do get the message: something went wrong, contact Secure Development Team for Support, what do I do?",Please click on the bug icon in the top right part of the screen and create a ticket describing your issue.
Secure Development is not loading,Please make sure that you are connected to the corporate network 😉 . If you are but still the problem insists please send us an email
I cannot access the Secure development,
How can I add a component to a Threat Modeling?,To learn how to add component to your Threat Modeling please visit our friendly [guide](https://wiki.wdf.sap.corp/wiki/display/DevFw/Threat+Modeling)
How do I document a Threat Modeling,"Threat Modeling document should contain the following steps: 
• how to create a new threat model
• adding components to the threat model
• capture risks and
• start collecting all the things that are related to risk assessments"
How to delete a threat model?,"This feature is available in Program level. The following steps need to be followed to delete a Threat Model:
 1. Navigate to Program Screen
 2. Navigate to Security Development
3. Choose the Threat Model section
4. Find the Threat Model that you want to delete 
5. Click on the trash bin icon to delete the Threat Model.
6. Click continue on the pop-up window to confirm your action.
 The threat model is deleted✔️ Wasn’t that easy? 😊"
How can I edit a Threat Model?,"To edit a threat model you need to click on the title of the Threat Model. Then a pop-up window will be shown, where you can 
make your edits. To learn more about the fields of this pop-up window please visit our friendly [**documentation**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Threat+Modeling)"
I want to change my Threat Model,
I cannot find my threats in a threat model,"By default, only threats with a status of “Accepted” or “Further Action” are shown in the threat model. To view all threats which are “Not Applicable” or “Mitigated” click on the ➕ icon next to the threat model and select the component in the pop up and you will be able to see all the threats for that component."
Where can I find the Threat Modeling section?,"Threat Modeling is part of Secure Development. So, this could be found on program level under Security Development section. To know more about Threat Modeling please visit our friendly [**documentation**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Threat+Modeling)"
Where is the Threat Modeling?,
Where can I find the Threat Modeling tab?,
"While importing threat modeling from an excel, some threats are not imported",Importing from an excel template requires strict measures to ensure the integrity of the structure of the excel. This means to consider a certain threat in the excel to be valid there needs to be at least one component added under the column “affected agent name” / “affected channel name” / “affected storage name”. So please ensure that there is a component assigned to a threat before importing from the excel. If the issue persists then please contact [support]https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_SECURITY_HUB/null/03/null/null/Hi%20colleagues%2C%0Afor%20easier%20error%20identification%2C%20please%20answer%20the%20following%20questions%3A%0A%0A1.%20What%20did%20you%20do%20before%20the%20error%20occurred~60%0A2.%20What%20did%20you%20try%20to%20do~60%0A3.%20If%20you%20tried%20to%20upload%20something%2C%20please%20attach%20the%20file%20this%20ticket.%0A4.%20Please%20attach%20a%20screenshot%20of%20the%20error.%0A%0A
Some threats are not imported while using the import wizard,
"While importing threat modeling from an excel, the title of my threat is not filled",Threat titles are auto generated from SEC codes that define Product Standard Security. Some threats in the excel template are not associated with a product standard security but rather only with SecOps (Secure Operations Requirements). Threats associated only with SecOps will not have a title and hence the wizard will ask you to fill incomplete fields.
My threat model which I imported form an excel has not name,
Importing threat modeling from an excel fails,This happens when there are custom attack surface questions or custom threat categories are added to the excel. We do not support attack surface and threat categories that are not available in the excel template already. As a workaround you can try to fit your threat in an existing category and attack surface.
I can't import threat modeling from excel,
Import from excel in create Threat model failed,
How to create a Threat Model?,"There are three options when you create a Threat Model:
1. Create New
2. Create from existing
3. Import from Excel
To know more about each option and how to proceed with it please visit our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Threat+Modeling)"
Create a threat modeling from existing one,
Create threat modeling by importing an excel file,
Create a New threat modeling,
H ow to create a TM?,
What is threat modeling?,"Threat Modeling is a process by which potential threats, such as structural vulnerabilities or the absence of appropriate safeguards, can be identified, enumerated, and mitigations can be prioritized. To know more about Threat Modeling then please visit our friendly [**documentation**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Threat+Modeling)"
What s TM?,
Where can I find the Security Project Group Section?,"Security Project Groups is part of Secure Development. So, this could be found on program level under Security Development section. To know more about Secure Project Groups then visit our friendly [documentation](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Project+Groups)
"
Where is the Security Project Group?,
Security Project Group tab,
How to remove responsible persons from a Security Project group?,"This feature is available in Program level.  The following steps need to be followed to remove a Responsible Person from a Security Project Group:
1. Navigate to Program screen
2. Navigate to Security Development screen
3. Choose the Security Project Groups section
4. Click on the edit icon on the right
5. Click on the bin icon which is right to the respective responsible person

For more information about Security Project Groups, visit our friendly [**documentation**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Project+Groups)"
How to assign responsible persons to a Security Project group?,"This feature is available in Program level.  The following steps need to be followed to assign a Responsible Person to a Security Project Group:
1. Navigate to Program screen
2. Navigate to Security Development screen
3. Choose the Security Project Groups section
4. Click on the edit icon on the right
5. In the opened input field, type the name or user id of the person you want to add as a responsible
6. Click on the name in the dropdown list
7. Click outside the input field to leave edit mode

For more information about Security Project Groups, visit our friendly [**documentation**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Project+Groups)"
I am unable to delete a Security Project Group,"Project groups act as hierarchy templates for many features in Secure Development. To delete a project group, the project group should not have any artifacts bound to it. This is a known issue and we are working on providing a functionality to move artifacts out of the project group to the root project group, so that deletion would work easily. In case of error message while trying to delete a project group, please open a [support ticket](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_SECURITY_HUB/null/03/null/null/Hi%20colleagues%2C%0Afor%20easier%20error%20identification%2C%20please%20answer%20the%20following%20questions%3A%0A%0A1.%20What%20did%20you%20do%20before%20the%20error%20occurred~60%0A2.%20What%20did%20you%20try%20to%20do~60%0A3.%20If%20you%20tried%20to%20upload%20something%2C%20please%20attach%20the%20file%20this%20ticket.%0A4.%20Please%20attach%20a%20screenshot%20of%20the%20error.%0A%0A)"
I cannot delete a Security project group,
How to delete Security Project Groups?,"This feature is available in Program level. The following steps need to be followed to delete a Security Project Group:
1. Navigate to Program Screen 
2. Navigate to Security Development Screen
3. Choose the Security Project Groups section 
4. Click on the trash bin icon to delete a Security Project Group.
For more information about Security Project Groups, visit our friendly [**documentation**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Project+Groups)"
How to create a Security Project Group?,"This feature is available in Program level. The following steps need to be followed to create a Security Project Group:
1. Navigate to Program screen
2. Navigate to Security Development screen
3. Choose the Security Project Groups section
4. Click on the ➕ icon to create a new child Security Project Group
5. Enter a name and hit enter or click outside the input field.
Congratulations, you created a Security Project Group✔️ Wasn’t that easy? 😊
For more information about Security Project Groups, visit our friendly [**documentation**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Project+Groups)"
What is the Security Project Group?,"Security Project Group is used to organize your security testing efforts. It is optional and is based on teams, components or other arbitrary hierarchies. For more information about Security Project Groups, visit our friendly [**documentation**](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Project+Groups)"
What is the Security Project Group section about?,
Secure Development Screen,"There are two different Secure Development screens in Sirius. One in Program level and one in Delivery level.  I created a list for you, dive in deeper by using the links😊.

**1.Secure Development in Program screens:**
• Overview • [Security Project Groups](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Project+Groups), • [Threat Modeling](https://wiki.wdf.sap.corp/wiki/display/DevFw/Threat+Modeling), • [Risk Assessments](https://wiki.wdf.sap.corp/wiki/display/DevFw/Risk+Assessments), • [Security Incidents](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Incidents)

**2.Secure Development in Delivery screens:**
• Overview • Security Plan: Overview • [Security Plan: Risk Mitigation](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Plan%3A+Risk+Mitigation) • [Security Plan: Testing](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Plan%3A+Testing) • [Security Incidents](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Incidents) • [SOAR](https://wiki.wdf.sap.corp/wiki/display/DevFw/SOAR+-+Secure+Operations+Architecture+Requirements) • [DPCE](https://wiki.wdf.sap.corp/wiki/display/DevFw/DPCE+-+Data+Protection+Compliance+Evaluation) • Security Report • [Security Validation](https://wiki.wdf.sap.corp/wiki/display/DevFw/Security+Validation) • [Exception Approval](https://wiki.wdf.sap.corp/wiki/display/DevFw/Exception+Approval+Process) • [Regulatory Compliance](https://wiki.wdf.sap.corp/wiki/display/DevFw/Regulatory+Compliance+Framework) •Deliveries"
